subject	set_name	measure	direct_contrast_nps	paired_condition_nps	contrast	difference_direct_minus_paired	same_sign
sub-30	main	signature_dot	-1.0544631481170654	-1.0652349591255186	regulation_mean_minus_passive	0.010771811008453147	True
sub-31	main	signature_dot	-0.8394594192504883	-0.9946701042354108	regulation_mean_minus_passive	0.15521068498492252	True
sub-32	main	signature_dot	-0.2970724701881408	-0.0399151220917702	regulation_mean_minus_passive	-0.2571573480963706	True
sub-33	main	signature_dot	-0.0364141426980495	0.3494658097624779	regulation_mean_minus_passive	-0.38587995246052736	False
sub-01	main	signature_weighted_mean	0.0027751952702468	0.0022983832630377	up_minus_down	0.00047681200720910014	True
sub-02	main	signature_weighted_mean	-0.0303476563765677	-0.0194823277322513	up_minus_down	-0.010865328644316403	True
sub-03	main	signature_weighted_mean	0.0029947420410317	0.0022059280842805	up_minus_down	0.0007888139567512002	True
sub-04	main	signature_weighted_mean	-0.0039121408334762	-0.0089500017741217	up_minus_down	0.0050378609406455	True
sub-05	main	signature_weighted_mean	-0.0004749440143573	0.0031132366150547	up_minus_down	-0.003588180629412	False
sub-06	main	signature_weighted_mean	0.9545907465040098	-0.0284670291236107	up_minus_down	0.9830577756276204	False
sub-07	main	signature_weighted_mean	-0.0018967050317954	-0.0022499973101159	up_minus_down	0.00035329227832050017	True
sub-08	main	signature_weighted_mean	-0.0026910385886073	-0.0015782422145139	up_minus_down	-0.0011127963740933998	True
sub-09	main	signature_weighted_mean	0.0006882713070171	0.0010837460608858	up_minus_down	-0.00039547475386870015	True
sub-10	main	signature_weighted_mean	-0.0046402297609026	-0.0098597741409633	up_minus_down	0.0052195443800607	True
sub-11	main	signature_weighted_mean	-0.0004775579898109	0.0062804072288723	up_minus_down	-0.0067579652186831995	False
sub-12	main	signature_weighted_mean	0.0002111662922886	0.0004712366342419	up_minus_down	-0.0002600703419533	True
sub-13	main	signature_weighted_mean	-0.0118759842112187	-0.0101953317536383	up_minus_down	-0.0016806524575804001	True
sub-14	main	signature_weighted_mean	0.0100745774979552	0.0117455382544071	up_minus_down	-0.0016709607564519002	True
sub-15	main	signature_weighted_mean	-0.0025682073115285	0.000365279617854	up_minus_down	-0.0029334869293824997	False
